Ticket_ID,Date,Produit,Catégorie,Quantité (kg),Prix au kg (€),Prix total (€),CO2_e_per_kg
TICKET_6466,2024-08-14,Fromage,Produits laitiers,1.07,2.71,2.9,20.0
TICKET_6466,2024-08-14,Fromage,Produits laitiers,1.4,3.13,4.38,20.0
TICKET_6466,2024-08-14,Porc,Viandes,2.52,10.22,25.75,7.0
TICKET_6466,2024-08-14,Bananes,Fruits,2.19,19.56,42.84,0.8
TICKET_6466,2024-08-14,Café,Produits transformés,2.82,6.77,19.09,16.0
TICKET_6466,2024-08-14,Lait,Produits laitiers,2.92,10.56,30.84,1.3
TICKET_6466,2024-08-14,Lentilles,Protéines végétales,2.07,2.71,5.61,0.9
TICKET_6466,2024-08-14,Pommes,Fruits,0.88,13.87,12.21,0.3
TICKET_6466,2024-08-14,Pommes de terre,Légumes,0.31,17.03,5.28,0.2
TICKET_6466,2024-08-14,Pommes,Fruits,1.95,19.49,38.01,0.3
TICKET_6466,2024-08-14,Agneau,Viandes,2.79,5.97,16.66,30.0
TICKET_6466,2024-08-14,Porc,Viandes,2.16,17.1,36.94,7.0
TICKET_6466,2024-08-14,Fromage,Produits laitiers,1.66,8.35,13.86,20.0
TICKET_6466,2024-08-14,Bœuf,Viandes,1.98,4.8,9.5,60.0
TICKET_6466,2024-08-14,Lentilles,Protéines végétales,1.04,11.81,12.28,0.9
TICKET_6466,2024-08-14,Œufs,Œufs,2.7,13.46,36.34,4.0
TICKET_6466,2024-08-14,Agneau,Viandes,0.62,6.66,4.13,30.0
TICKET_6466,2024-08-14,Café,Produits transformés,2.06,2.76,5.69,16.0
TICKET_6466,2024-08-14,Bœuf,Viandes,1.33,17.33,23.05,60.0
TICKET_6466,2024-08-14,Chocolat,Produits transformés,1.93,19.8,38.21,19.0
TICKET_6466,2024-08-14,Agneau,Viandes,1.95,18.24,35.57,30.0
TICKET_6466,2024-08-14,Agneau,Viandes,1.85,14.35,26.55,30.0
TICKET_6466,2024-08-14,Pommes de terre,Légumes,1.29,9.33,12.04,0.2
TICKET_6466,2024-08-14,Lait,Produits laitiers,2.68,6.09,16.32,1.3
TICKET_6466,2024-08-14,Bœuf,Viandes,0.81,14.43,11.69,60.0
TICKET_6466,2024-08-14,Café,Produits transformés,1.71,17.16,29.34,16.0
TICKET_6466,2024-08-14,Porc,Viandes,2.21,18.09,39.98,7.0
TICKET_6466,2024-08-14,Porc,Viandes,1.76,13.88,24.43,7.0
TICKET_6466,2024-08-14,Œufs,Œufs,0.81,18.5,14.99,4.0
TICKET_6466,2024-08-14,Café,Produits transformés,0.12,11.15,1.34,16.0
TICKET_2396,2024-01-01,Porc,Viandes,2.56,2.74,7.01,7.0
TICKET_2396,2024-01-01,Porc,Viandes,0.94,10.93,10.27,7.0
TICKET_2396,2024-01-01,Carottes,Légumes,2.51,11.72,29.42,0.1
TICKET_2396,2024-01-01,Poulet,Viandes,2.2,11.23,24.71,6.0
TICKET_2396,2024-01-01,Œufs,Œufs,1.54,13.34,20.54,4.0
TICKET_2396,2024-01-01,Tofu,Protéines végétales,2.52,16.97,42.76,2.0
TICKET_2396,2024-01-01,Chocolat,Produits transformés,0.51,9.04,4.61,19.0
TICKET_2396,2024-01-01,Pommes,Fruits,2.47,18.64,46.04,0.3
TICKET_2396,2024-01-01,Bœuf,Viandes,0.86,7.82,6.73,60.0
TICKET_2396,2024-01-01,Bœuf,Viandes,0.9,18.54,16.69,60.0
TICKET_2396,2024-01-01,Poulet,Viandes,1.07,14.5,15.52,6.0
TICKET_2396,2024-01-01,Carottes,Légumes,1.19,15.09,17.96,0.1
TICKET_2396,2024-01-01,Poulet,Viandes,1.61,19.12,30.78,6.0
TICKET_2396,2024-01-01,Bœuf,Viandes,2.95,11.71,34.54,60.0
TICKET_2396,2024-01-01,Bœuf,Viandes,1.79,6.12,10.95,60.0
TICKET_2396,2024-01-01,Pommes,Fruits,0.89,2.76,2.46,0.3
TICKET_2396,2024-01-01,Café,Produits transformés,2.84,13.71,38.94,16.0
TICKET_2396,2024-01-01,Lentilles,Protéines végétales,0.63,17.71,11.16,0.9
TICKET_2396,2024-01-01,Lait,Produits laitiers,1.18,16.93,19.98,1.3
TICKET_2396,2024-01-01,Agneau,Viandes,0.17,13.31,2.26,30.0
TICKET_2396,2024-01-01,Porc,Viandes,0.27,13.13,3.55,7.0
TICKET_2396,2024-01-01,Porc,Viandes,0.44,8.1,3.56,7.0
TICKET_2396,2024-01-01,Pommes,Fruits,0.57,18.9,10.77,0.3
TICKET_2396,2024-01-01,Carottes,Légumes,1.85,18.15,33.58,0.1
TICKET_2396,2024-01-01,Bœuf,Viandes,1.69,9.04,15.28,60.0
TICKET_2396,2024-01-01,Pommes,Fruits,1.11,4.73,5.25,0.3
TICKET_2396,2024-01-01,Pommes,Fruits,2.16,14.43,31.17,0.3
TICKET_2396,2024-01-01,Porc,Viandes,0.65,6.95,4.52,7.0
TICKET_2396,2024-01-01,Pommes,Fruits,0.85,10.74,9.13,0.3
TICKET_2396,2024-01-01,Chocolat,Produits transformés,1.42,9.14,12.98,19.0
TICKET_9230,2024-02-17,Fromage,Produits laitiers,1.21,12.82,15.51,20.0
TICKET_9230,2024-02-17,Carottes,Légumes,0.63,12.16,7.66,0.1
TICKET_9230,2024-02-17,Porc,Viandes,0.59,7.77,4.58,7.0
TICKET_9230,2024-02-17,Café,Produits transformés,0.98,18.07,17.71,16.0
TICKET_9230,2024-02-17,Porc,Viandes,2.81,3.67,10.31,7.0
TICKET_9230,2024-02-17,Pommes de terre,Légumes,2.7,10.37,28.0,0.2
TICKET_9230,2024-02-17,Bananes,Fruits,2.85,15.75,44.89,0.8
TICKET_9230,2024-02-17,Porc,Viandes,1.32,10.94,14.44,7.0
TICKET_9230,2024-02-17,Pommes de terre,Légumes,0.85,2.37,2.01,0.2
TICKET_9230,2024-02-17,Œufs,Œufs,0.12,9.98,1.2,4.0
TICKET_9230,2024-02-17,Lait,Produits laitiers,2.43,10.47,25.44,1.3
TICKET_9230,2024-02-17,Pommes de terre,Légumes,1.89,13.93,26.33,0.2
TICKET_9230,2024-02-17,Pommes,Fruits,1.75,12.29,21.51,0.3
TICKET_9230,2024-02-17,Café,Produits transformés,1.08,13.4,14.47,16.0
TICKET_9230,2024-02-17,Bœuf,Viandes,2.55,14.39,36.69,60.0
TICKET_9230,2024-02-17,Pommes,Fruits,2.2,3.02,6.64,0.3
TICKET_9230,2024-02-17,Poulet,Viandes,1.47,10.04,14.76,6.0
TICKET_9230,2024-02-17,Agneau,Viandes,2.95,16.78,49.5,30.0
TICKET_9230,2024-02-17,Pommes de terre,Légumes,0.84,9.91,8.32,0.2
TICKET_9230,2024-02-17,Tofu,Protéines végétales,2.01,2.32,4.66,2.0
TICKET_9230,2024-02-17,Lait,Produits laitiers,1.11,15.95,17.7,1.3
TICKET_9230,2024-02-17,Lentilles,Protéines végétales,2.38,4.78,11.38,0.9
TICKET_9230,2024-02-17,Œufs,Œufs,1.17,15.6,18.25,4.0
TICKET_9230,2024-02-17,Café,Produits transformés,2.92,18.05,52.71,16.0
TICKET_9230,2024-02-17,Chocolat,Produits transformés,0.39,3.37,1.31,19.0
TICKET_9230,2024-02-17,Poulet,Viandes,0.36,12.5,4.5,6.0
TICKET_9230,2024-02-17,Lait,Produits laitiers,1.08,8.02,8.66,1.3
TICKET_9230,2024-02-17,Lait,Produits laitiers,1.24,9.8,12.15,1.3
TICKET_9230,2024-02-17,Agneau,Viandes,0.87,19.31,16.8,30.0
TICKET_9230,2024-02-17,Pommes,Fruits,2.03,3.61,7.33,0.3
TICKET_3567,2024-10-07,Bœuf,Viandes,2.31,18.45,42.62,60.0
TICKET_3567,2024-10-07,Bananes,Fruits,2.91,7.24,21.07,0.8
TICKET_3567,2024-10-07,Pommes de terre,Légumes,1.43,12.59,18.0,0.2
TICKET_3567,2024-10-07,Carottes,Légumes,0.49,3.34,1.64,0.1
TICKET_3567,2024-10-07,Poulet,Viandes,0.35,2.73,0.96,6.0
TICKET_3567,2024-10-07,Bananes,Fruits,2.84,7.79,22.12,0.8
TICKET_3567,2024-10-07,Carottes,Légumes,2.15,12.4,26.66,0.1
TICKET_3567,2024-10-07,Bananes,Fruits,0.7,4.75,3.32,0.8
TICKET_3567,2024-10-07,Café,Produits transformés,0.3,8.33,2.5,16.0
TICKET_3567,2024-10-07,Pommes,Fruits,0.94,17.3,16.26,0.3
TICKET_3567,2024-10-07,Carottes,Légumes,0.23,4.51,1.04,0.1
TICKET_3567,2024-10-07,Porc,Viandes,2.57,5.51,14.16,7.0
TICKET_3567,2024-10-07,Pommes de terre,Légumes,0.15,5.68,0.85,0.2
TICKET_3567,2024-10-07,Lait,Produits laitiers,1.24,3.33,4.13,1.3
TICKET_3567,2024-10-07,Carottes,Légumes,2.98,4.59,13.68,0.1
TICKET_3567,2024-10-07,Fromage,Produits laitiers,1.6,5.89,9.42,20.0
TICKET_3567,2024-10-07,Tofu,Protéines végétales,2.31,7.13,16.47,2.0
TICKET_3567,2024-10-07,Œufs,Œufs,1.97,8.24,16.23,4.0
TICKET_3567,2024-10-07,Bœuf,Viandes,1.55,10.86,16.83,60.0
TICKET_3567,2024-10-07,Bœuf,Viandes,1.78,5.66,10.07,60.0
TICKET_3567,2024-10-07,Bananes,Fruits,2.29,4.44,10.17,0.8
TICKET_3567,2024-10-07,Bananes,Fruits,1.97,9.7,19.11,0.8
TICKET_3567,2024-10-07,Carottes,Légumes,2.25,13.41,30.17,0.1
TICKET_3567,2024-10-07,Bananes,Fruits,1.57,18.76,29.45,0.8
TICKET_3567,2024-10-07,Pommes,Fruits,2.22,4.4,9.77,0.3
TICKET_3567,2024-10-07,Lait,Produits laitiers,2.69,16.67,44.84,1.3
TICKET_3567,2024-10-07,Pommes de terre,Légumes,0.44,12.0,5.28,0.2
TICKET_3567,2024-10-07,Tofu,Protéines végétales,1.31,16.22,21.25,2.0
TICKET_3567,2024-10-07,Lentilles,Protéines végétales,2.14,17.08,36.55,0.9
TICKET_3567,2024-10-07,Chocolat,Produits transformés,2.03,11.22,22.78,19.0
TICKET_2705,2024-06-14,Tofu,Protéines végétales,0.9,11.92,10.73,2.0
TICKET_2705,2024-06-14,Poulet,Viandes,1.32,8.88,11.72,6.0
TICKET_2705,2024-06-14,Œufs,Œufs,2.44,12.5,30.5,4.0
TICKET_2705,2024-06-14,Fromage,Produits laitiers,1.07,14.19,15.18,20.0
TICKET_2705,2024-06-14,Tofu,Protéines végétales,0.93,5.86,5.45,2.0
